asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN142230-30,10,tt,no,0.7369,0.38,20.0,35.69,1,11.532
BTC,KXBTC15M-26JUN142230-30,10,dynamic,no,0.7369,0.38,551.13,35.69,1,317.7794
BTC,KXBTC15M-26JUN142230-30,10,maker,no,0.7369,0.7169,20,2.0,1,5.2653
BTC,KXBTC15M-26JUN142230-30,11,flat,no,0.7898,0.25,20.0,53.98,1,13.95
BTC,KXBTC15M-26JUN142230-30,11,tt,no,0.7898,0.25,20.0,53.98,1,13.95
BTC,KXBTC15M-26JUN142230-30,11,dynamic,no,0.7898,0.25,742.7,53.98,1,518.0338
BTC,KXBTC15M-26JUN142230-30,11,maker,no,0.7898,0.7698,20,2.0,1,4.2813
BTC,KXBTC15M-26JUN142230-30,12,flat,no,0.8357,0.18,20.0,65.57,1,15.252
BTC,KXBTC15M-26JUN142230-30,12,tt,no,0.8357,0.18,20.0,65.57,1,15.252
BTC,KXBTC15M-26JUN142230-30,12,dynamic,no,0.8357,0.1858,1005.39,65.57,1,761.2694
BTC,KXBTC15M-26JUN142230-30,12,maker,no,0.8357,0.8157,20,2.0,1,3.4284
BTC,KXBTC15M-26JUN142230-30,13,flat,no,0.8623,0.04,20.0,82.23,1,17.856
BTC,KXBTC15M-26JUN142230-30,13,tt,no,0.8623,0.04,20.0,82.23,1,17.856
BTC,KXBTC15M-26JUN142230-30,13,dynamic,no,0.8623,0.0486,4024.26,82.23,1,3560.6205
BTC,KXBTC15M-26JUN142230-30,13,maker,no,0.8623,0.8423,20,2.0,1,2.9327
BTC,KXBTC15M-26JUN142315-15,12,flat,yes,0.9399,0.6113,0.0,32.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,12,dynamic,yes,0.9399,0.6113,0.0,32.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,13,flat,yes,0.9499,0.6113,0.0,33.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,13,dynamic,yes,0.9499,0.6113,0.0,33.85,1,0.0
BTC,KXBTC15M-26JUN142345-45,10,maker,yes,0.7902,0.7702,20,2.0,1,4.2742
BTC,KXBTC15M-26JUN142345-45,13,flat,yes,0.8952,0.5017,0.0,39.35,1,0.0
BTC,KXBTC15M-26JUN142345-45,13,dynamic,yes,0.8952,0.5017,0.0,39.35,1,0.0
BTC,KXBTC15M-26JUN150015-15,13,flat,no,0.9642,0.7482,0.0,21.59,1,0.0
BTC,KXBTC15M-26JUN150015-15,13,dynamic,no,0.9642,0.7482,0.0,21.59,1,0.0
BTC,KXBTC15M-26JUN150045-45,10,maker,no,0.8969,0.8769,20,2.0,1,2.2894
BTC,KXBTC15M-26JUN150100-00,10,flat,no,0.8887,0.7,20.0,18.87,1,5.58
BTC,KXBTC15M-26JUN150100-00,10,tt,no,0.8887,0.7,20.0,18.87,1,5.58
BTC,KXBTC15M-26JUN150100-00,10,dynamic,no,0.8887,0.7,266.43,18.87,1,74.3334
BTC,KXBTC15M-26JUN150100-00,10,maker,no,0.8887,0.8687,20,2.0,1,2.4417
BTC,KXBTC15M-26JUN150100-00,11,flat,no,0.9105,0.6,20.0,31.05,1,7.44
BTC,KXBTC15M-26JUN150100-00,11,tt,no,0.9105,0.6,20.0,31.05,1,7.44
BTC,KXBTC15M-26JUN150100-00,11,dynamic,no,0.9105,0.6,246.33,31.05,1,91.6346
BTC,KXBTC15M-26JUN150100-00,11,maker,no,0.9105,0.8905,20,2.0,1,2.0366
BTC,KXBTC15M-26JUN150100-00,12,flat,no,0.9284,0.61,20.0,31.84,1,7.254
BTC,KXBTC15M-26JUN150100-00,12,tt,no,0.9284,0.61,20.0,31.84,1,7.254
BTC,KXBTC15M-26JUN150100-00,12,dynamic,no,0.9284,0.61,238.51,31.84,1,86.5081
BTC,KXBTC15M-26JUN150100-00,12,maker,no,0.9284,0.9084,20,2.0,1,1.7042
BTC,KXBTC15M-26JUN150100-00,13,flat,no,0.9397,0.45,20.0,48.97,1,10.23
BTC,KXBTC15M-26JUN150100-00,13,tt,no,0.9397,0.45,20.0,48.97,1,10.23
BTC,KXBTC15M-26JUN150100-00,13,dynamic,no,0.9397,0.45,260.48,48.97,1,133.2332
BTC,KXBTC15M-26JUN150100-00,13,maker,no,0.9397,0.9197,20,2.0,1,1.4931
BTC,KXBTC15M-26JUN150115-15,10,flat,yes,0.8982,0.71,20.0,18.82,1,5.394
BTC,KXBTC15M-26JUN150115-15,10,tt,yes,0.8982,0.71,20.0,18.82,1,5.394
BTC,KXBTC15M-26JUN150115-15,10,dynamic,yes,0.8982,0.7168,278.51,18.82,1,73.3522
BTC,KXBTC15M-26JUN150115-15,10,maker,yes,0.8982,0.8782,20,2.0,1,2.2663
BTC,KXBTC15M-26JUN150115-15,11,maker,yes,0.9162,0.8962,20,2.0,1,1.9303
BTC,KXBTC15M-26JUN150115-15,12,flat,yes,0.9354,0.57,20.0,36.54,1,7.998
BTC,KXBTC15M-26JUN150115-15,12,tt,yes,0.9354,0.57,20.0,36.54,1,7.998
BTC,KXBTC15M-26JUN150115-15,12,dynamic,yes,0.9354,0.57,251.41,36.54,1,100.5405
BTC,KXBTC15M-26JUN150115-15,12,maker,yes,0.9354,0.9154,20,2.0,1,1.574
BTC,KXBTC15M-26JUN150115-15,13,maker,yes,0.9488,0.9288,20,2.0,1,1.3242
ETH,KXETH15M-26JUN141630-30,13,flat,yes,0.9773,0.6974,0.0,27.99,1,0.0
ETH,KXETH15M-26JUN141630-30,13,dynamic,yes,0.9773,0.6974,0.0,27.99,1,0.0
ETH,KXETH15M-26JUN141715-15,10,maker,no,0.1527,0.1327,20,2.0,0,-2.6539
ETH,KXETH15M-26JUN141715-15,11,flat,yes,0.8301,0.6385,20.0,23.01,1,6.7239
ETH,KXETH15M-26JUN141715-15,11,tt,yes,0.8301,0.6385,20.0,23.01,1,6.7239
ETH,KXETH15M-26JUN141715-15,11,dynamic,yes,0.8301,0.6485,157.15,23.01,1,51.3672
ETH,KXETH15M-26JUN141715-15,11,maker,yes,0.8301,0.8101,20,2.0,1,3.5323
ETH,KXETH15M-26JUN141715-15,12,maker,yes,0.8169,0.7969,20,2.0,1,3.777
ETH,KXETH15M-26JUN141715-15,13,maker,yes,0.8968,0.8768,20,2.0,1,2.2913
ETH,KXETH15M-26JUN141815-15,10,maker,no,0.7161,0.6961,20,2.0,0,-13.9221
ETH,KXETH15M-26JUN141815-15,11,flat,no,0.6959,0.5,20.0,19.59,0,-10.0
ETH,KXETH15M-26JUN141815-15,11,tt,no,0.6959,0.5,20.0,19.59,0,-10.0
ETH,KXETH15M-26JUN141815-15,11,dynamic,no,0.6959,0.5137,344.59,19.59,0,-177.0051
ETH,KXETH15M-26JUN141815-15,11,maker,no,0.6959,0.6759,20,2.0,0,-13.5175
ETH,KXETH15M-26JUN141815-15,12,maker,no,0.4992,0.4792,20,2.0,0,-9.5845
ETH,KXETH15M-26JUN141815-15,13,flat,no,0.394,0.08,20.0,31.4,0,-1.6
ETH,KXETH15M-26JUN141815-15,13,tt,no,0.394,0.08,20.0,31.4,0,-1.6
ETH,KXETH15M-26JUN141815-15,13,dynamic,no,0.394,0.0919,956.11,31.4,0,-87.8826
ETH,KXETH15M-26JUN141815-15,13,maker,no,0.394,0.374,20,2.0,0,-7.4806
ETH,KXETH15M-26JUN141830-30,13,flat,yes,0.6557,0.1235,20.0,53.57,0,-2.47
ETH,KXETH15M-26JUN141830-30,13,tt,yes,0.6557,0.1235,20.0,53.57,0,-2.47
ETH,KXETH15M-26JUN141830-30,13,dynamic,yes,0.6557,0.2148,597.4,53.57,0,-128.3342
ETH,KXETH15M-26JUN141830-30,13,maker,yes,0.6557,0.6357,20,2.0,0,-12.7135
ETH,KXETH15M-26JUN141845-45,10,maker,yes,0.853,0.833,20,2.0,1,3.106
ETH,KXETH15M-26JUN141845-45,11,maker,yes,0.8473,0.8273,20,2.0,1,3.2117
ETH,KXETH15M-26JUN141900-00,13,flat,no,0.8474,0.5818,0.0,26.56,1,0.0
ETH,KXETH15M-26JUN141900-00,13,dynamic,no,0.8474,0.5818,0.0,26.56,1,0.0
ETH,KXETH15M-26JUN141915-15,10,maker,yes,0.5852,0.5652,20,2.0,1,8.0882
ETH,KXETH15M-26JUN141915-15,11,maker,yes,0.6647,0.6447,20,2.0,1,6.609
ETH,KXETH15M-26JUN141930-30,10,maker,no,0.5718,0.5518,20,2.0,0,-11.0359
ETH,KXETH15M-26JUN141930-30,11,maker,no,0.4142,0.3942,20,2.0,0,-7.8849
ETH,KXETH15M-26JUN141930-30,12,maker,no,0.3779,0.3579,20,2.0,0,-7.1578
ETH,KXETH15M-26JUN141930-30,13,maker,yes,0.668,0.648,20,2.0,1,6.5474
ETH,KXETH15M-26JUN141315-15,13,flat,yes,0.921,0.7943,0.0,12.66,1,0.0
ETH,KXETH15M-26JUN141315-15,13,dynamic,yes,0.921,0.7943,0.0,12.66,1,0.0
ETH,KXETH15M-26JUN141330-30,10,maker,no,0.13,0.11,20,2.0,1,16.5542
ETH,KXETH15M-26JUN141330-30,11,maker,no,0.1216,0.1016,20,2.0,1,16.7096
ETH,KXETH15M-26JUN141330-30,12,maker,yes,0.8432,0.8232,20,2.0,0,-16.4644
ETH,KXETH15M-26JUN141330-30,13,maker,no,0.2272,0.2072,20,2.0,1,14.7466
ETH,KXETH15M-26JUN141345-45,10,maker,no,0.4548,0.4348,20,2.0,1,10.5128
ETH,KXETH15M-26JUN141345-45,11,maker,yes,0.5028,0.4828,20,2.0,0,-9.6567
ETH,KXETH15M-26JUN141345-45,12,maker,no,0.5163,0.4963,20,2.0,1,9.3694
ETH,KXETH15M-26JUN141415-15,10,flat,no,0.7799,0.65,20.0,12.99,0,-13.0
ETH,KXETH15M-26JUN141415-15,10,tt,no,0.7799,0.65,20.0,12.99,0,-13.0
ETH,KXETH15M-26JUN141415-15,10,dynamic,no,0.7799,0.65,195.68,12.99,0,-127.1905
ETH,KXETH15M-26JUN141415-15,10,maker,no,0.7799,0.7599,20,2.0,0,-15.1972
ETH,KXETH15M-26JUN141415-15,11,maker,no,0.7856,0.7656,20,2.0,0,-15.312
ETH,KXETH15M-26JUN141415-15,12,flat,no,0.7591,0.51,20.0,24.91,0,-10.2
ETH,KXETH15M-26JUN141415-15,12,tt,no,0.7591,0.51,20.0,24.91,0,-10.2
ETH,KXETH15M-26JUN141415-15,12,dynamic,no,0.7591,0.5226,172.7,24.91,0,-90.2436
ETH,KXETH15M-26JUN141415-15,12,maker,no,0.7591,0.7391,20,2.0,0,-14.7826
ETH,KXETH15M-26JUN141415-15,13,flat,no,0.5601,0.46,20.0,10.01,0,-9.2
