window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-25T20:30:00+00:00,KXBTC15M-26MAY251645-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+222.2857,no_bet,,
2026-05-25T20:45:00+00:00,KXBTC15M-26MAY251700-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+222.2857,no_bet,,
2026-05-25T21:00:00+00:00,KXBTC15M-26MAY251715-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+222.2857,no_bet,,
2026-05-25T21:15:00+00:00,KXBTC15M-26MAY251730-30,no,2,0,2,9.1646,0.0000,9.1646,-9.1646,+0.0000,-9.1646,+213.1211,net_loss,12,yes
2026-05-25T21:30:00+00:00,KXBTC15M-26MAY251745-45,no,1,1,2,3.8760,7.9735,11.8495,-3.8760,+2.8837,-0.9923,+212.1288,net_loss,11,no
2026-05-25T21:45:00+00:00,KXBTC15M-26MAY251800-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T02:15:00+00:00,KXBTC15M-26MAY262230-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T02:30:00+00:00,KXBTC15M-26MAY262245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T02:45:00+00:00,KXBTC15M-26MAY262300-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T03:00:00+00:00,KXBTC15M-26MAY262315-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T03:15:00+00:00,KXBTC15M-26MAY262330-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T03:30:00+00:00,KXBTC15M-26MAY262345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T03:45:00+00:00,KXBTC15M-26MAY270000-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-27T04:00:00+00:00,KXBTC15M-26MAY270015-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+212.1288,no_bet,,
2026-05-28T11:15:00+00:00,KXBTC15M-26MAY280730-30,no,0,1,1,0.0000,20.6085,20.6085,+0.0000,+15.0589,+15.0589,+227.1878,net_win,11,no
2026-05-28T11:30:00+00:00,KXBTC15M-26MAY280745-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T11:45:00+00:00,KXBTC15M-26MAY280800-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T12:00:00+00:00,KXBTC15M-26MAY280815-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T12:30:00+00:00,KXBTC15M-26MAY280845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T12:45:00+00:00,KXBTC15M-26MAY280900-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T13:00:00+00:00,KXBTC15M-26MAY280915-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T13:15:00+00:00,KXBTC15M-26MAY280930-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T13:30:00+00:00,KXBTC15M-26MAY280945-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T13:45:00+00:00,KXBTC15M-26MAY281000-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T14:15:00+00:00,KXBTC15M-26MAY281030-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T14:45:00+00:00,KXBTC15M-26MAY281100-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T15:00:00+00:00,KXBTC15M-26MAY281115-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T15:15:00+00:00,KXBTC15M-26MAY281130-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+227.1878,no_bet,,
2026-05-28T15:30:00+00:00,KXBTC15M-26MAY281145-45,yes,1,0,1,14.9587,0.0000,14.9587,+23.6873,+0.0000,+23.6873,+250.8751,net_win,13,yes
2026-05-28T15:45:00+00:00,KXBTC15M-26MAY281200-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T16:00:00+00:00,KXBTC15M-26MAY281215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T16:15:00+00:00,KXBTC15M-26MAY281230-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T16:30:00+00:00,KXBTC15M-26MAY281245-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T16:45:00+00:00,KXBTC15M-26MAY281300-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T17:00:00+00:00,KXBTC15M-26MAY281315-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T17:30:00+00:00,KXBTC15M-26MAY281345-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+250.8751,no_bet,,
2026-05-28T17:45:00+00:00,KXBTC15M-26MAY281400-00,yes,0,1,1,0.0000,66.8840,66.8840,+0.0000,-66.8840,-66.8840,+183.9910,net_loss,10,no
2026-05-28T18:00:00+00:00,KXBTC15M-26MAY281415-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+183.9910,no_bet,,
2026-05-28T18:15:00+00:00,KXBTC15M-26MAY281430-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+183.9910,no_bet,,
2026-05-28T18:30:00+00:00,KXBTC15M-26MAY281445-45,yes,1,1,2,11.5312,7.0961,18.6273,+9.8991,-7.0961,+2.8030,+186.7940,net_win,11,yes
2026-05-28T18:45:00+00:00,KXBTC15M-26MAY281500-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+186.7940,no_bet,,
2026-05-28T19:00:00+00:00,KXBTC15M-26MAY281515-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+186.7940,no_bet,,
2026-05-28T19:15:00+00:00,KXBTC15M-26MAY281530-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+186.7940,no_bet,,
2026-05-28T19:30:00+00:00,KXBTC15M-26MAY281545-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+186.7940,no_bet,,
2026-05-28T19:45:00+00:00,KXBTC15M-26MAY281600-00,no,0,1,1,0.0000,29.9792,29.9792,+0.0000,+71.6931,+71.6931,+258.4871,net_win,11,no
2026-05-28T20:00:00+00:00,KXBTC15M-26MAY281615-15,yes,1,1,2,20.1515,10.0881,30.2396,+184.9646,-10.0881,+174.8765,+433.3636,net_win,11,yes
2026-05-28T20:15:00+00:00,KXBTC15M-26MAY281630-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T20:30:00+00:00,KXBTC15M-26MAY281645-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T20:45:00+00:00,KXBTC15M-26MAY281700-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T21:00:00+00:00,KXBTC15M-26MAY281715-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T21:15:00+00:00,KXBTC15M-26MAY281730-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T21:30:00+00:00,KXBTC15M-26MAY281745-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+433.3636,no_bet,,
2026-05-28T21:45:00+00:00,KXBTC15M-26MAY281800-00,no,1,0,1,10.4308,0.0000,10.4308,-10.4308,+0.0000,-10.4308,+422.9328,net_loss,10,yes
2026-05-28T22:15:00+00:00,KXBTC15M-26MAY281830-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+422.9328,no_bet,,
2026-05-28T22:30:00+00:00,KXBTC15M-26MAY281845-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+422.9328,no_bet,,
2026-05-28T22:45:00+00:00,KXBTC15M-26MAY281900-00,no,0,1,1,0.0000,22.8120,22.8120,+0.0000,+67.1813,+67.1813,+490.1141,net_win,12,no
2026-05-28T23:00:00+00:00,KXBTC15M-26MAY281915-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+490.1141,no_bet,,
2026-05-28T23:30:00+00:00,KXBTC15M-26MAY281945-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+490.1141,no_bet,,
2026-05-28T23:45:00+00:00,KXBTC15M-26MAY282000-00,yes,2,0,2,25.6823,0.0000,25.6823,+61.1371,+0.0000,+61.1371,+551.2512,net_win,10,yes
2026-05-29T00:00:00+00:00,KXBTC15M-26MAY282015-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+551.2512,no_bet,,
2026-05-29T00:15:00+00:00,KXBTC15M-26MAY282030-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+551.2512,no_bet,,
2026-05-29T00:30:00+00:00,KXBTC15M-26MAY282045-45,yes,1,0,1,9.2098,0.0000,9.2098,+1.7543,+0.0000,+1.7543,+553.0055,net_win,12,yes
2026-05-29T00:45:00+00:00,KXBTC15M-26MAY282100-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T01:00:00+00:00,KXBTC15M-26MAY282115-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
