window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-21T03:15:00+00:00,KXBTC15M-26MAY202330-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+178.3103,no_bet,,
2026-05-21T03:30:00+00:00,KXBTC15M-26MAY202345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+178.3103,no_bet,,
2026-05-23T01:30:00+00:00,KXBTC15M-26MAY222145-45,no,0,2,2,0.0000,25.5318,25.5318,+0.0000,+39.1173,+39.1173,+217.4276,net_win,10,no
2026-05-23T01:45:00+00:00,KXBTC15M-26MAY222200-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+217.4276,no_bet,,
2026-05-23T02:00:00+00:00,KXBTC15M-26MAY222215-15,yes,1,0,1,9.9507,0.0000,9.9507,+5.6719,+0.0000,+5.6719,+223.0995,net_win,13,yes
2026-05-24T02:45:00+00:00,KXBTC15M-26MAY232300-00,yes,1,1,2,8.9589,7.7808,16.7397,+8.0051,-7.7808,+0.2242,+223.3237,net_win,12,no
2026-05-25T02:00:00+00:00,KXBTC15M-26MAY242215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+223.3237,no_bet,,
2026-05-25T19:30:00+00:00,KXBTC15M-26MAY251545-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+223.3237,no_bet,,
2026-05-25T19:45:00+00:00,KXBTC15M-26MAY251600-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+223.3237,no_bet,,
2026-05-25T20:00:00+00:00,KXBTC15M-26MAY251615-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+223.3237,no_bet,,
