window_ts,timestamp,mode,ticker,close_time,direction,btc_t0,btc_t5,btc_price_age_secs,abs_pct_move,yes_bid,yes_ask,spread,kalshi_yes_t5,mispricing,f_btc,g_misprice,stake,fill_price,count,order_id,order_result,settlement_ts,market_winner,outcome,pnl,cumulative_pnl
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,645,79714.78,79741.2,1.03,0.033143,0.77,0.78,0.01,0.775,yes,10.4371,0.0,5.3348,12.1087,yes,-0.117803,0.89449,0.560822,5.1022,0.8,6,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,735,79714.78,79775.01,0.97,0.075557,0.942,0.949,0.007,0.9455,yes,13.0607,0.0,10.4371,12.1087,yes,-0.103211,2.830568,0.609115,2.6237,0.969,3,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,750,79714.78,79758.0,0.23,0.054218,0.91,0.918,0.008,0.914,yes,23.0559,0.0,13.0607,12.1087,yes,-0.057283,2.872441,0.774795,9.9951,0.938,11,paper,paper
2026-05-04T09:15:00+00:00,dh-target,KXBTC15M-26MAY040530-30,2026-05-04T09:30:00Z,765,79714.78,79755.78,0.34,0.051433,0.919,0.92,0.001,0.9195,yes,32.8886,0.0,23.0559,12.1087,yes,-0.052676,2.887639,0.79236,9.8328,0.94,10,paper,paper
2026-05-04T09:30:00+00:00,dh-target,KXBTC15M-26MAY040545-45,2026-05-04T09:45:00Z,240,79728.1,79750.99,0.67,0.02871,0.58,0.6,0.02,0.59,yes,2.1456,0.0,0.0,0.0,yes,-0.036469,0.167271,0.85515,2.1456,0.62,3,paper,paper
2026-05-04T09:30:00+00:00,dh-target,KXBTC15M-26MAY040545-45,2026-05-04T09:45:00Z,270,79728.1,79768.49,0.86,0.05066,0.69,0.7,0.01,0.695,yes,19.3369,0.0,2.1456,0.0,yes,-0.025882,1.050955,0.89684,17.1912,0.72,24,paper,paper
2026-05-04T09:30:00+00:00,dh-target,KXBTC15M-26MAY040545-45,2026-05-04T09:45:00Z,435,79728.1,79719.51,0.24,0.010774,0.43,0.44,0.01,0.435,no,0.0,7.0444,19.3369,0.0,no,0.0333,0.347037,1.132418,7.0444,0.59,12,paper,paper
2026-05-04T09:30:00+00:00,dh-target,KXBTC15M-26MAY040545-45,2026-05-04T09:45:00Z,585,79728.1,79780.03,0.28,0.065134,0.88,0.89,0.01,0.885,yes,35.9037,0.0,19.3369,7.0444,yes,-0.095816,2.568452,0.634461,16.5669,0.91,18,paper,paper
2026-05-04T09:45:00+00:00,dh-target,KXBTC15M-26MAY040600-00,2026-05-04T10:00:00Z,255,79837.35,79814.19,0.94,0.029009,0.35,0.36,0.01,0.355,no,0.0,2.2986,0.0,0.0,no,-0.075777,0.204435,0.705846,2.2986,0.67,3,paper,paper
2026-05-04T09:45:00+00:00,dh-target,KXBTC15M-26MAY040600-00,2026-05-04T10:00:00Z,300,79837.35,79862.15,0.45,0.031063,0.61,0.62,0.01,0.615,yes,4.8281,0.0,0.0,2.2986,yes,-0.038584,0.233603,0.846878,4.8281,0.64,8,paper,paper
2026-05-04T09:45:00+00:00,dh-target,KXBTC15M-26MAY040600-00,2026-05-04T10:00:00Z,360,79837.35,79883.26,0.51,0.057504,0.71,0.73,0.02,0.72,yes,23.9216,0.0,4.8281,2.2986,yes,-0.024278,1.51083,0.903192,19.0935,0.75,25,paper,paper
2026-05-04T09:45:00+00:00,dh-target,KXBTC15M-26MAY040600-00,2026-05-04T10:00:00Z,525,79837.35,79884.0,0.47,0.058431,0.81,0.82,0.01,0.815,yes,31.1192,0.0,23.9216,2.2986,yes,-0.057304,2.280679,0.774716,7.1976,0.84,9,paper,paper
2026-05-04T09:45:00+00:00,dh-target,KXBTC15M-26MAY040600-00,2026-05-04T10:00:00Z,720,79837.35,79880.49,0.65,0.054035,0.917,0.92,0.003,0.9185,yes,33.5795,0.0,31.1192,2.2986,yes,-0.091203,2.767313,0.650554,2.4603,0.94,3,paper,paper
2026-05-04T10:15:00+00:00,dh-target,KXBTC15M-26MAY040630-30,2026-05-04T10:30:00Z,240,78707.68,78466.58,0.24,0.306323,0.15,0.16,0.01,0.155,no,0.0,41.0732,0.0,0.0,no,-0.007291,2.820447,0.970844,41.0732,0.87,47,paper,paper
2026-05-04T10:15:00+00:00,dh-target,KXBTC15M-26MAY040630-30,2026-05-04T10:30:00Z,255,78707.68,78465.44,0.01,0.307772,0.17,0.18,0.01,0.175,no,0.0,49.8275,0.0,41.0732,no,0.032671,2.87713,1.129945,8.7543,0.85,10,paper,paper
2026-05-04T10:15:00+00:00,dh-target,KXBTC15M-26MAY040630-30,2026-05-04T10:30:00Z,270,78707.68,78432.56,0.51,0.349547,0.12,0.13,0.01,0.125,no,0.0,63.3759,0.0,49.8275,no,-0.014726,2.88312,0.941164,13.5483,0.9,15,paper,paper
